A,B
'Comparto dichos de Bachelet preocupación genera elección de Bolsonaro respeto de DDHH Ahora x misma razón creo sería oportuno viaje suyo Venezuela y Nicaragua hay gravísima situación de DDHH ',NoAgresivo
'Con enorme gusto y agradecimiento recibí de parte Consejo de Juristas Estado y Fundación Lupita presea “Gran mujer de Morelos 2018”',NoAgresivo
'Con gravedad y doloroso sufrimiento d nuestro compatriotas d CasaBlanca voraz incendio espero q Bachelet suspenda vacaciones',NoAgresivo
'CON LOS ABUELITOS NO PERRA CONCHETUMADRE ',Agresivo
'Con mi perra no vieja conchetumadre Va quedar cagá',Agresivo
'Con nuestro dinero se dan lujos validando al asesino Senador Jaime Guzmán',NoAgresivo
'Con políticos de calaña mal pronóstico pa’is',NoAgresivo
'Con cara de placer mira mi mujer mi polla zorra',Agresivo
'Con salió HDP diciéndole señora tuviera cuidado de madre mujer com…',Agresivo
'quién te cagando tonta weona ojos ti',Agresivo
'respeto te mereces perra asquerosa',Agresivo
'Con ustedes cara de mono feo y conchetumadre de _Tobal Una madre perra culia se da de troll Twitter webiando hinchas de Colo-Colo Sí carita se da lujo de andar webiando Además puteas y bloquea feo re culiao No le compren',Agresivo
'Conchatumadre tonta weona pudrete ',Agresivo
'Conchetumadre perra culiá te odio',Agresivo
'Condenaremos acción palabra denigre valiosa integridad de mujeres ¡No violencia contra mujer',NoAgresivo
'CONMIGO NO PERRA CONCHETUMADRE CONMIGO NO',Agresivo
'Conozco mujeres dejaron maquillaje atrás se dieron cuenta de no cubría tristeza lucen más bellas',NoAgresivo
'Consternada fallecimiento de Carmen Alborch Era mujer maravillosa apreciaba sinceramente Un abrazo suyos y compañeros @PSOE',NoAgresivo
'Contentos están invasores haitianos cómplices y nefasta Bachelet antigua y nueva izquierda jesuitas ong jode país LAW linea aerea fraudulenta proinmigrantes blandengues autoridades haitianas q se deshacen de cachos y superocho',Agresivo
'Continuamos estrategia de promoción de autonomía económica mujeres de #Medellin',NoAgresivo
'Copa America | Que innecesario de #Bachelet Presidenta #oportunista mejor arregle educacion',NoAgresivo
'Correcto y derecha timorata y quieren seguir sentados congreso ganando sueldo',NoAgresivo
'cosa de minutos Boric y Orsini sinceren relación sentimentalRossi llora desconsolado',NoAgresivo
'Coti carita de loca Camilo tenía extracto de filiación limpio La weona y enferma parece otra este hilo mente más rara tuya Ojalá nunca ejerzas médico peligro',Agresivo
'Creo mujeres y hombres cualquiera de formas no feminización hombre ni masculinización de mujer y mucho menos cualquiera de -ismos',NoAgresivo
'Crestano había visto imágenes d MIERDA d mujer q no merece llamarse nana Q impotencia le saco cresta Maldita ',Agresivo
'CTMvuelve al colegio tienes retraso mentalESTÚPIDA DE MIERDA WN Si no fuera mapuchesNi chalecos sabrían tejer Chile wn Habriamos tenido q pagarle sueldo parásito de reyY no PaísPodemos eligir presiones Tonta weona ',Agresivo
'Cual aporte de weona sociedad Dividir aun más país Tonta culia ',Agresivo
'Cuál novedad de Boric pertenecen mundo ultra izquierda dónde justifican al terrorismo',NoAgresivo
'cualquier cosa diga se queda corta mi amor sos mujer mas asombrosa existe duda ',NoAgresivo
'Cualquier mujer haya pasado embarazo y parto ninguna se prestaría hacerlo otros salvo caso de extrema necesidad ',NoAgresivo
'Bachelet dice“No encuentro justo Estado pague U de mi hijo pagarlo”se ubica vereda deGolborne y Allamand',NoAgresivo
'Cuando creíamos @gabrielboric tenía honesto compromiso defensa de DDHH enteramos de esto jajaja dan risa estos politicos',NoAgresivo
'Cuando ella caminaba al colegio miraba y admiraba - Algún día saludamos y ahí empezó gran historia de amor ',NoAgresivo
'Cuando chico mi profe de religión me quitó mis láminas álbum Digimon y recortó pedacitos Kari Nunca más me volvió salir y me faltaron 3 láminas completarlo Ahora ella me habla favor MYRIAM CULIÁ OLVÍDALO NI PERDÓN NI OLVIDO MARACA',Agresivo
'gordita me trataban de guatona culiá me bajan y subían mil veces gente conozco e quería hacían burlas y no se imaginan cuanto dolía y ahora después de cambio maraca culiá demostrar he logrado tanto esfuerzo',Agresivo
'Cuando Bachelet no hacía tanto calor',NoAgresivo
'Cuando ex presidenta Michelle Bachelet (de izquierda) nombrada al frente Alto Comisionado de NNUU propio sucesor Sebastián Piñera (de derecha) resaltó “un reconocimiento promoción de derechos humanos” Qué distinto gente sensata',NoAgresivo
'Cuando más se habla de no violencia contra mujer y de contra violadores de niñas único vemos nuestros violadores rodean cierran posibilidades criminales victimarios de Farc paguen hicieron',NoAgresivo
'Cuando me llama envidiosa ENVIDIA DE QUÉ Perra asquerosa No iré sobrada me llega de sobras no falta (ni quiero) tu  BYE',Agresivo
'Cuando mi mamá habla me siento y escucho increíble cómo mujer asombrosa ',NoAgresivo
'no le salen arañas de boca le salen lágrimas negras chorretones de ojos o sea imaginad cómo sería tener…',NoAgresivo
'Cuando quieran les notas xq ningun de ustedes tuvo sagacidad de comprobarles agenda tortolos',NoAgresivo
'Cuando te pase algo o seas víctima de delito llama PDI y reclama fifa tonta weona',Agresivo
'Cuándo tu macho te habla sucio te perra…',Agresivo
'Cuanta plata gasta bachelet ahora brasil y no son capaces de costear helicóptero salvar vidas y sustento de lugareños',NoAgresivo
'CUIDADO q firma calle salven focas ballenas etc Fraude Amplio al acecho captar firmas',NoAgresivo
'Dan igual de ASCO esos tipos acosan gritando mujeres calle grupos de hombres se pasan mandando fotos de tipas diciendo buenas están Dónde está respeto',NoAgresivo
'Daniela Aránguiz Tenís guata llena de celulitis guatona culiá Te mandar sacar chucha maraca',Agresivo
'De padres talentosisimos nace @Karla_Grun de voces chilenas mas lindas q he oido #nevenarmy siganla AHORA aman musica',NoAgresivo
'De hecho veo asombrosa mujer araña me recuerdo de triste e injusta vida',NoAgresivo
'De denuncia Bachelet personalmente y otras personas recibían dinero de entrada de haitianos al país',NoAgresivo
'De encuesta CEP se sacar conclusión Más de 90% de contrarios Bachelet Twitter',NoAgresivo
'de quizás le confesó algo Boric-Orsini no le había dicho Bitar o jueces',NoAgresivo
'De Ripley La UDI exije Bachelet se pronuncie derechos Humanos En este pais operados estomago aguantamos tanto',NoAgresivo
'De mujer estupenda tendrás quieres de mujer inteligente tendrás mereces ',NoAgresivo
'DEBEMOS CONVOCAR A UN PLESBICITO PARA SABER SI ESTE GOBIERNO SIGUE O LO SACAMOS DESDE ĹAS CALLES ',NoAgresivo
'Deberían de inahabilitar di puta da Camila Ramona Flores está weona loca esquizofrénica galopante corrupta delictual junto cónyuge Percy Marín Core y hermana Cynthia Marín condenada x Fraude al Fisco todos RN ',Agresivo
'Debo entender vagina no te mujer hombre peluca mujer mujer pelo corto hombre… Que pelotudo hijo de mujer de mi viejo',Agresivo
'Decirte hermosa poco mujer fuerte empoderada se ama y ama plena ESO te bella y fuera te admiro te banco todas',NoAgresivo
'Déééjense huevear Boric fachos culiaos Visiten nueva% amigos asesinos d Punta Peuco y sigan intentando sacarlos',Agresivo
'deja de agredir mica perra asquerosa recentinda putita fernandez algo nadie te quiere vos mentirosa y resentida aguada me das asco mujer ',Agresivo
'Dejando pantallazos de tuits Al mencionar Bachelet y Soros me han borrado varios mañana Ni Twitter democrático frente malas artes de ultraizquierda',NoAgresivo
'Dejen Patricia Maldonado se exprese total vieja culiá ya está vieja y gorda vaca y Pinochet ya no existeLo único queda son crímenes de lesa humanidad vieja CTM',Agresivo
'dEJEN DE DECIRLE BIG HITLER A BH POR LA MIERDA NO TE DAI CUENTA DE QUIEN ES ESE WEON ESTÚPIDA CULIA SE NOTA QUE TODAVÍA NO CAXAN NI UNA WEA MEJOR PÓNGANSE A LEER DE HISTORIA Y DEJEN DE WEAR CON CUEA SABEN DE LO QUE ESTÁN HABLANDO TONTA WEONA RECONCHETUMAREEEE',Agresivo
'Demasiado carepalo Jose Antonio Kast pedir inhabilidad de Gabriel Boric diputado reunirse Palma Salamanca',NoAgresivo
'DesafueroCFK y rejas hdp ladrona de cuarta asesina sinvergúenza ',Agresivo
'Desbloqueame puta barata cositas aclararte video mentiroso estas mostrando @Tato_Aguilera',Agresivo
'descubrí lentamente además de mujer bella persona especial y profunda Estoy feliz te hayas mostrado ojos de todos Eres mujer estupenda simpática y aún mas bella ',NoAgresivo
'Desde hacía rato ésta mujer no me emocionaba interpretación Pero remake americano The kindergarten teacher vuelve simplemente asombrosa ',NoAgresivo
'Desde conocí @Sara_antunz me di cuenta gran mujer había creado proyecto increíble @stophaters_ ',NoAgresivo
'Después añadieron alquilar nuestros úteros hacía buenas personas',NoAgresivo
'Después d tanto desastres d naturaleza y lenta respuesta Gbno Bachelet pienso q 33 mineros se les habrían muerto',NoAgresivo
'después de te tocado sufrir hoy mujer  de centro-derecha Yo te aplaudosiempre coherente y maravillosa Tan feliz tú de resultados de Andalucía',NoAgresivo
'destrozando gobiernos duopolio Michelle Bachelet y Sebastián Piñera y criminal Lobby empresarial modelo capitalista de libre mercado responsable de grave contaminación hoy vive Quintero y Puchuncaví',NoAgresivo
'Día de Michelle Bachelety seguidorespartió carrera presidencial tds actores desplegados Esperemos carrera c contenido',NoAgresivo
'dice negra culiá y despues se habla melisa lol jajaja mina maraca y cobarde ',Agresivo
'dígamelo cara perra',Agresivo
'Diganle tontos culiaos gobierno de Bachelet toda ayuda necesaria gracias',Agresivo
'Dime quién andas y te diré quién Boric se equivocó y se mareó Orsinipffff',NoAgresivo
'Dios dejado legado gran mujer Gerda Brown y mis pastores han recibido ',NoAgresivo
'Dios te bendiga hoy y siempre y te acompañe tu nueva travesía te amo mas nada',NoAgresivo
'Dios Monica no se vé cínica no se vé falsase vé estupenda Pero mujer qué mundo paralelo vive',NoAgresivo
'Discúlpame interrumpir sagrado momento igual no culpa de no dejes silencio o desconectes wifi dormir loca de mierda',Agresivo
'Distinguida y honorable dama No le mientan al pueblo La insurreccion no de reuniones ni de horarios',NoAgresivo
'DOBLE ESTÁNDAR de Gabriel Boric completamente indignante e inaceptable ',NoAgresivo
'DOBLE ESTÁNDAR de Gabriel Boric completamente indignante e inaceptable Reunirse asesino y prófugo de justicia',NoAgresivo
'Dos o tres matecitos y charla mujer maravillosa',NoAgresivo
'Eeeeeella perra máxima jajajaja ❤️',Agresivo
'Efectivamente esperando niña maravillosa viene al mundo gracias extraordinaria mujer y familia Una mujer libre y motivación ayudar otras personasmujer excepcional tú no entenderías Adiós',NoAgresivo
'Efecto Bolsonaro Aun presidente electo de Brasil no se sentado silla presidencial y ya entró pánico alta esfera chavista y dirigencia opositora oficialista ni hablar de progres nivel mundial A Bachelet casi le da soponcio',NoAgresivo
'Ej de mujer conlleva este sistema patriarcal machista clasista hipócrita moralistas y colmo de país y continente ',NoAgresivo
'El 82% de profesores tuvieron alza sueldos Carrera Docente Así se viendo resultados de reformas de Presidenta Bachelet principio se dijo cambios graduales y ahora vemos resultados Gracias',NoAgresivo
'El aborto forma de violencia contra mujer Jamás será derecho Es crimen acaba vida niño nacer y destruye corazón de madre',NoAgresivo
'El acoso laboral representa otra forma d violencia contra mujer',NoAgresivo
'El amor no existe y tú fuiste y serás perra',Agresivo
'El apoyo de Bachelet Eyzaguirre se parece casos clubes ratifican al DT malos resultados Olor gladiolo',NoAgresivo
'Él conversador de asombrosa inteligencia y mirada habla haciendo explotar guiño libido de cualquier mujer sólo mío',NoAgresivo
'EL CRECIMIENTO ES BAJO X BACHELET SUS REFORMAS LO CAGARON TODO Y LA ECONOMÍA NO PUEDE COMPROMETERSE LA CULPA ES DE LOS HAITIANOS EN SERIO ES CULPA DE ELLOS DE LOS FERIADOS TAMBIÉN PERO X ESO ESTAMOS PARA ARREGLAR EL CAOS',Agresivo
'El día de hoy cumplo sueño gracias Bella y gran mujer persona increíble y decir da de mejores abrazos mundo Siempre diré mejor mamánager gracias apoyarlos tanto te amo ',NoAgresivo
'El día llevéis riendas de sociedad nuestra especie dará gran salto evolutivo viaje hacia verdadera prosperidad Gracias todas maravillosas',NoAgresivo
'El Diputado Gabriel #BORIC debe renunciar patética @CamaraDiputados ',NoAgresivo
'El Diputado Gabriel #BORIC debe renunciar patética @CamaraDiputados No posible tolerar gente ampara terrorismo',NoAgresivo
'El engaño de Bachelet  mano te dio y otra te quito  ',NoAgresivo
'El ex presidente de Ecuador será encarcelado sale de Bélgica Sólo falta Bachelet',NoAgresivo
'El gusto de preocuparse weas bomba d humo canticos d armada q bachelet aun no se responsable dl 27F',NoAgresivo
'El hombre diga mujer no cielo y mejor le pudo pasar realmente no mujer bella y hombre afortunado',NoAgresivo
'El hombre quiere sexo y mujer romanticismo Sólo aceptando diferencias alcanzar intimidad y relación sexual estupenda',NoAgresivo
'El liderazgo femenino innato principio de vida Literalmente hombres no existe-riamos Un orgullo mujeres lideres',NoAgresivo
'El lunes arriar vaca sola  cachai wea pa chica culia de 155  ',Agresivo
'El marxismo corrupto través de Bachelet se infiltró FFAA 2006 fecha eligió y puso cargos amigos Generales Fuente-Alba Villalobos y al actual Cmdte Jefe Ejército Ricardo Martínez primo segundo grado',NoAgresivo
'El mejor ejemplo de representa @ppcv gran mujer trabajadora y comprometida Torrent tendrá gran candidata alcaldía y gran equipo recuperar juntos proyecto de futuro torrentinos merecen ',NoAgresivo
'nivel de intelectuales defienden @gabrielboric y @MaiteOrsini  Sólo lumbreras de ortografía ',NoAgresivo
'El objetivo de ley prevenir y erradicar tipo de violencia contra mujeres; garantizando derechos impulsando acciones positivas',NoAgresivo
'El partido de mañana me mas tiriton guata de Bachelet',Agresivo
'El profe acaba de decir mujeres no son buenas matemáticas cosas biológicas y mi mejor amiga 22 y haciendo magister Beaucheff Dentrate viejo ',NoAgresivo
'El psicópata dice Boric debe destituido visita Salamanca',Agresivo
'El de maravillosa mujer defensa de niñez especialmente abogando menores reclutados forzosamente @FARC_EPueblo extraordinario e invaluable; demostrada absoluta inocencia le llegarán reconocimientos y honores merecidos ',NoAgresivo
'El viaje Francia de Gabriel Boric tb invitaciòn y cuantos dias estuvo y quienes mas estuvieron',NoAgresivo
'ELIZABETH CÓMO SE TE OCURRE DECIR ESO SI ERÍ LA TIPA MÁS LINDA DEL MUNDO TONTA WEONA TE VOY A PEGAR ',Agresivo
'Ella mujer y aún más profesional caso periodista está catalogada de mejores país ',NoAgresivo
'ella inteligente distinguida hermosa y feliz vos no te representa nada tal Sophie fuera nuestra primera dama también le tendrías envidia',NoAgresivo
'Ella mi novia mi mejor amiga amor de mi vida mujer maravillosa y perfecta siempte me sonreír nunca me imaginé llegar feliz cómo estos momentos de mi vida y espero dios esto no termine jamas duda amo ',NoAgresivo
'ella realmente mujer hermosa merecido nombre de Army',NoAgresivo
'Ella vive obsesionada todos odian y quieren atacar Esa mujer está mal de cabeza',NoAgresivo
'Empezamos mañana @CamaraMedellin evento de buenas prácticas de género organizaciones ',NoAgresivo
'En 16 años pasamos de país hacías filas 4 am trozo de pan no tenías tarjeta socialista inventó padre de Bachelet; país vías desarrollo y mejor posicionado de Latam estructura ya hecha',NoAgresivo
'En comparación son mucho más lindas chilenas chilenos son feos vasectomía anestesia y hecha tramontina',NoAgresivo
'En cualquier momento Matthei al comando de Bachelet entregarle apoyo ',NoAgresivo
'En Día de No Violencia Contra Mujer necesario pasar de conferencias y proyectos acciones concretas y directas evitar pandemia de femenicidios siga quitando valiosas madres e hijas Ya basta hora de cambiar ',NoAgresivo
'En Día Internacional Contra Violencia hacia Mujeres reflexionemos gravedad de aprobar leyes proveer de recursos genuinos aplicación ',NoAgresivo
'En festival de Venecia hay mujer concursando sección oficial maravillosa Jennifer Kent y durante créditos de proyección salía nombre señor gritado puta Menos mal sexismo invento feminista Que bonita vida ',NoAgresivo
'En fondo @gabrielboric necesita derecha pinochetista justificarse Sin ella no nada ni excusa ',NoAgresivo
'En entrevista LUN Piñera no manda decir nadie Bachelet buena mujer no buena presidenta |CIERTO',NoAgresivo
'En esencia distinguida educaday excelente anfitriona Una Primera Dama de lujoOrgullo arg ',NoAgresivo
'En relacion briila ella Y estando lado me brillar mi rodee mujer de ensueño Te amo bella ',NoAgresivo
'En esto razón Boric Ir visitar Pinochet Londres impresentable reunirse Palma Salamanca jajaja',NoAgresivo
'En Edad Media sólo nacer mujer hija Diablo culpable de y inferior; 2018 sólo nacer mujer maravillosa nada tu culpa y siempre víctima El oscuro punto de intersección se parece mucho',NoAgresivo
'En tribuna de Chile hay chilenas lindas deben contratadas algún país vecino',NoAgresivo
'En México más 47% de mujeres sido víctima de violencia En año 2015 se registraron promedio 62 asesinatos de mujeres al día ',NoAgresivo
'En Navidad mujeres pedían perdón esposos errores cometidos durante año No dejemos se pierdan buenas costumbres ',NoAgresivo
'En realidad pagamos lujos gustitos y multas',NoAgresivo
'En tu ultma foto de instagram tenes cara de puta barata — y qué te pensás subi',Agresivo
'de imbecil hipócrita jajajaja internate psiquiátrico loca de mierda',Agresivo
'ENCONTRÉ TU DIRECCIÓN Y TU RUT VO MARACA CULIÁ QUE ME ENGAÑASTE HACE 8 AÑOS ATRAS TE VOY A PITIAR',Agresivo
'Encuentro de Boric Orsini París no da ni pa pobrémica',NoAgresivo
'endeudo de manera irresponsable sl pais financiar operadorex politicos de MBaChelet ',NoAgresivo
'Enferma y loca de mierda',Agresivo
'Enserio weona no nada mejor q estar toda tarde misma parte weiando Andate casa loca no q tanto tenias q estudiar jajaja payasa',Agresivo
'entiendo Una mujer representa progresistas; hombre vivo fósil o partícula elemental Muy Moffat Estupenda manera de demostrar imbécil ',Agresivo
'Entonces bajemos senadores y diputados y tendríamos buenas Lucas idea no también bajemos dieta y impuesto puso Bachelet La casa propia destinamos todos quienes les quieres regalar vivienda te parece Es buen idea no',NoAgresivo
'ENTONCES ERES UNA MALDITA ZORRA MASOQUISTa perdón',Agresivo
'juego puta barata vete mierda SOLO ME USASTE NO SOY TU JUGUETE',Agresivo
'Entre Guiller y Boric no ni cuarto de bogoteado',NoAgresivo
'mas necesaria radio pila teléfono satelital onemi burla gobierno de Bachelet',NoAgresivo
'Eres increíblemente inteligente y me gustaría estar tu lado este corto se regala Aprender reír soñar y vivir',NoAgresivo
'Eres mujer mas asombrosa he conocido duda no te alejes de mi nunca',NoAgresivo
'Eres mujer mas hermosa y talentosa Que conozco te amo tanto bella no fuera no tambien siempre sacas sonrisa',NoAgresivo
'Eres persona más asombrosa he conocido mujer fascinante y llena de magia tienes sonrisa más hermosa jamás haya visto ',NoAgresivo
'Eres maravillosa y faltan muchas palabras mereces escuchar prefiero dedicarme hombre de estés orgulloso de mi ',NoAgresivo
'Eres inteligente Denise respeto también guapa y distinguida La combinación perfecta',NoAgresivo
'Eres sencillamente maravillosa y te deseo de bueno mejor Grande Miriam',NoAgresivo
'mujer estupenda palante tu vales muchotu te de gana',NoAgresivo
'Eres mujer increible Silvia gracias bella TE AMO MUCHISIMO SILVIA TE AMO MUCHISIMO MI ARDILLITA VOLADORA',NoAgresivo
'Eres mujer maravillosa hermosa y no digo tu gran belleza física señoritalo digo más sencillez y humildad le brindas tu cariño fanáticos de este bello deporte',NoAgresivo
'Eres mujer maravillosa llena de luz y alegría Con corazón inmenso merece mejor de vida este nuevo año Gracias buena mujer y madre de nuestro hermoso hijo Te amamos ',NoAgresivo
'Eres mujer maravillosa madre ejemplar y humano inmensamente hermoso ',NoAgresivo
'Eres mujer afortunada merece mejor mundo @arizaga_a Todo bonito ti SIEMPRE',NoAgresivo
'ERES UNA PERRA ASQUEROSA INUTIL DE MIERDA RASPUTIA DE MIERDAAAA ME DAS ASCO PENDEJA Y SOLO QUIERO VERTE PENDEJA PUDRIÉNDOTE EN LA CARCEL DESGRACIADA ESCORIA MALPARIAAAAA HIJA DE PUTAAAAA',Agresivo
'Eres persona q admiro tanto mi modelo seguir No x fama sino x gran mujer q luchadora q fuiste alcanzar sueños y metas ',NoAgresivo
'Eres puta barata duda',Agresivo
'Eres vulgarcomo cualquier mujerzuela Que no tienes padre y madre te corriga',Agresivo
'Eres zorra asquerosa merece morir Maldita gente de mierda culpa país está maldita perra',Agresivo
'ERES UNA ZORRA DE MIERDA CIERTO Q ERES CORREISTA X ESO ERES ASÍ ',Agresivo
'Es contrasentido no defender legado de Bachelet Gobierno hablábamos de gratuidad técnico-universitaria hoy hablamos de reprimir estudiantes Aula Segura Mientras Gobierno se planificaban nuevos hospitales hoy Piñera baja recursos consultorios',NoAgresivo
'increible bellas mujeres o sea no bonitas DISTINGUIDAS mae caras te dejan palabras literal no y ps no existiendo xdd',NoAgresivo
'Es increíble durante proceso de llegada irregular de Haitianos gbno de Bachelet no levantaron vozHoy izquierda gárgaras vuelo FACH',NoAgresivo
'Es violencia te falta ti cama tonta weona La falta de sexo te hablando estupideces Y asesinato mierda algo borraron registro o está hablado weás',Agresivo
'Es preparar pizza tu cuñado y mujer misma se acostó tu marido yegua y aguan…',Agresivo
'Es eri asquerosa culiá ¿te creí bacán weás haci SIDOSA DE MIERDA SARNOSA DAS PENA DESPERDICIO HUMANO ERI MARACA Y ERA irrespetuosa de mierda Yo vo no se respetuosa personas así',Agresivo
'Es preciosa me parece muchacha genial y mucho talento y potencial',NoAgresivo
'pa hipster tení flaco po vaca culiá no te podí abrochar primer botón de camisa',Agresivo
'Es MARAVILLOSA mujer vez abre boca me reír ',NoAgresivo
'terrible weona y pensaba le iba hablar entera loca ni aunque viera 10000 veces le hablaría gente hipócrita y miserable',Agresivo
'Es culpa #Bachelet ',NoAgresivo
'Es gusto apoyarte gran conductora actriz y gran mujer ',NoAgresivo
'Es mujer talento baila estupenda voz seguridad ella misma y montar buena performance',NoAgresivo
'Es pobre y triste gueon maricon poco hombre riéndose de hijo ya vida te pasará cuenta desgraciado infiel humillaste tu hijo conchetumadre hijo de perra malo',Agresivo
'Es canallada tratado parte de prensa Boric ojalá esto le sirva de ejemplo',NoAgresivo
'digna representante de mujer chilena esforzada familia maravillosa y lucha valores cristianos ',NoAgresivo
'ES UNA FORRA FORRA FORRA FORRA OJALA SE VAYA DELCOLEGIO OJALAA NO VEMGA MAS Y NO TOME UNa puTA PRUEBA QUE MIERDA LE PASA YA TUVIMOS LA INTEGRADORA PERRA PUTA MIERDA FORRA BASURA SORETE pelotuda boluda te odio sucia asquerosa andate colegio morite no se ',Agresivo
'Es mujer maleducada clase Símbolo de sociedad decadencia',NoAgresivo
'mujer maravillosa y humano corazón deberíais valorar mucho más ',NoAgresivo
'Es mujer maravillosa inteligente y divertida ella repescada noche @masterchef_es  temo mucho equilibrio psicológico…',NoAgresivo
'Es mujer maravillosa talentosa y de se aprende diario profesión periodismo Un ejemplo seguir',NoAgresivo
'Es mujer guapa bonita quiero amor de mi vida mujer de gran corazón',NoAgresivo
'Esa verdadera Democracia y Espíritu de Caridad nuestros gobernantes deben aprender Dios bendiga Gran Mujer',NoAgresivo
'Esa perra tomo de nuestra Plata No volver suceder',Agresivo
'Esa prostituta barata Patricia Barral ¿esta tratamiento psiquiátrico o debe tantos favores q no le importa quedar hija de puta K sarnosa q',Agresivo
'Esa puta perra me ama me quiere enloquecer',Agresivo
'Esa vendedora culiá se queda afuera probador y te pregunta ¿cómo te quedo Y te vei vaca hueona le cortaría tetas',Agresivo
'Esa weona no dignidad chile se cagaron mitad de prostitutas caras de brasil y aun sigue flaite qliao de valdivia billetera wn',Agresivo
'ESO ES UN HIJUEPUTA CABRÓN MAMABICHO PUERTORIQUEÑO DE MIERDA Y LA MUJER ES IGUAL DE PUTA PERRA ASQUEROSA',Agresivo
'Eso te convierte mujer más asombrosa fuerte e independiente me he cepillado',NoAgresivo
'Esperar Bachelet haga cosa vez vida esperar trabaje Parived',NoAgresivo
'ESPERO NO QUEDE COMO UN LLAMADO DE ATENCIÓN O UNA MULTA ES GRAVE‼️‼️‼️A UNO DE DERECHA YA LO HABRÍAN LINCHADO',NoAgresivo
'Espero maravillosa mujer le respeten todos años de dedicación y cariño selección de Chile Conocedora de todos nuestros secretos y penas Nos vemos pronto Tía Alícia',NoAgresivo
'Esta bella orquídea envía mensaje de amor y pasión Evoca mujer Sus pétalos y sépalos parecen labios más perturbador objeto deseo y alma contenida propio laberinto',NoAgresivo
'ESTA CANCION VA DEDICADA A VO MARACA CULIA QUE ME CAMBIASTE POR UN WEON CON PLATA #Vina2016',Agresivo
'Esta comunista se atreve amenazar Bolsonaro  marxista Bachelet íntima amiga de Lula defensora de FARC admiradora de Fidel Chávez y de genocidas Honecker ex guerrillera y comandante sanguinario grupo terrorista FMR y HDLGP habla de DDHH  ',Agresivo
'Esta conchesumadre no salirse poco de márgenes de mujer weona-intelectual y tuitear mierda Como esto',Agresivo
'Esta mujer mas amare vida unicaes maravillosaes preciosa fuera y ',NoAgresivo
'Esta weona loca fundacion y le pide dinero gente twitter Es peligro pubico sra todavia @biobio',Agresivo
'Esta weona mas tonta no veía añosdesprestigia mujeres mierda pictwittercom/Q4bp4S8uQH',Agresivo
'ESTA GENTE SIN EDUCACION FUERON APROVECHADAS POR BACHELET Y SU SEQUITO DE DELINCUENTES LO QUE HOY LE DA SU CARGO EN LA ONULA MALDAD POR ESTA SINVERGÜENZA QUE LES VIOLO SUS DDHH CON MENTIRAS Y ENGAÑOSPASANDO POR EL AEROPUERTO CON PERMISO DEL GOBIERNO DE ESTA LACRA',NoAgresivo
'loca bibi de weona quemar restaurant',Agresivo
'Esta loca se canso d criticarme x TODAS LAS REDES SOCIALES q trola-puta-regalada x subir fotos ropa interior ahora vas cuentas y no NI UNA foto vestida',Agresivo
'ESTA MARACA CULIA NO SE CANSA WEON TE ENTERRARIA EL FIERRO EN EL CULO ENFERMA CULIA pictwittercom/lAJzflPGYJ',Agresivo
'Esta maraca culiá termina pololo y viene corriendo hablarme qué weá se cree',Agresivo
'Esta maravillosa mujer doblemente guapa Guapa fuera guapa Podriamos hablar durante horas de meritos profesionalidad y valores Maria Mar  embargo principal cualidad sencilla BUENA PERSONA',NoAgresivo
'Esta maravillosa mujer Enfermera Jefe n clínica d mi padre nací Después d 56 años encontramos n conferencia q dictaba l Voluntariado Nacional M abrazó minuto eterno y sentido Me dijo q última vez también m tuvo brazos bebé ',NoAgresivo
'Ésta maravillosa mujer demostrando compromiso libertad de Venezuela Estamos agradecidos le dado justo nombre narcodictadores secuestrados',NoAgresivo
'Esta mina siempre metiendose casados  mira no me olvido ehhh ahí te das cuenta puta barata',Agresivo
'mujer de mierda me cae sp mal',Agresivo
'Esta mujer bella dulce y pura se ve definitivamente mi más bella ',NoAgresivo
'Esta mujer hermosa dios santo Ya año de haberla conocido y aún no entiendo belleza y carisma',NoAgresivo
'Esta mujer maravillosa le dijo chico transexual dios se equivoca mundo conmigo tb me tenía q haber hecho alta  divina y rubia  grande mujer Angeles y q corazon ',NoAgresivo
'Esta mujer maravillosa escenario aunque les duela ratas Jesy Nelson mujer talento versátil canta de puta madre y baila increíble talento persona',NoAgresivo
'Esta mujer re intensa joder',NoAgresivo
'Esta mujer realmente mala estúpida y escrúpulos El Terrorismo habla terrorismo de Asco de persona',Agresivo
'Esta mujer no tine dignidad mira persona pocos recursos no derecho ponerse biquini ni tomarse Coca Cola  gente tonta culo y clasista',Agresivo
'Esta mujer nunca se puso pedo y elije día anterior finales nacionales hacerlo malena te matar',Agresivo
'Esta mujer se mafiosa diciendo no joda viernes',NoAgresivo
'Esta mujer sería 1 estupenda guionista Q barbaridad Y no de atizar Vaya Santa Raquel En casa estará mejor',NoAgresivo
'Esta no le da ni pa #feminazi… tonta weona secas y punto No le suban categoría',Agresivo
'pendeja orto único q hablarle mal de mi gente y mí está re muerta Hacete ver loca de mierda',Agresivo
'Esta perra encontramos calle mochila persiguiendo producción p…',Agresivo
'perra viene defender narcotraficante fuera conchadetumadre perra asquerosa',Agresivo
'Esta tarde colaboro CITA evento financiar programa de recuperación emocional mujeres han superado cáncer de mama ',NoAgresivo
'weona cree despues de haberme tratado mal y haber dejado casi me peguen hablarle pfff estai loca weon',Agresivo
