texto,clase
profesor que tiene la disposicion de entregar todos los conocimientos a los estudiantes elaborando estrategias para ello.,positivo
Muy buena metodologia de evaluaciones durante el semestre,positivo
mas puntualidad,negativo
Se expresa en forma clara y precisa.,positivo
"Muy buena profesora, utiliza terminos claros y con harta paciencia",positivo
mejorar trato a los alumnos,negativo
es un profesor con una gran calidad de ensenanza y sus clases son muy didacticas,positivo
Motivador,positivo
Buena metodologia y disposicion.,positivo
"Profesor, felicitaciones por hacer una clase tan interesante y por motivarnos a escribir y comprender la comunicacion.",positivo
excelente profesor,positivo
no tengo,neutro
"Excelente profesor, entrega notas a tiempo, claro para explicar.",positivo
"buena , excelente",positivo
"clases dinamicas, que aporta motivacion para ser innovador y surgir en el mercado.",positivo
Buen manejo y dominio de lo expuesto,positivo
"Buen profesor, comprensivo y dedicado.",positivo
"explica sus contenidos de manera poco interactiva, lo cual resulta que la clase se torne un tanto monotona",positivo
Que haga clases llamativas no tan monotona,negativo
"EL LABORATORIO QUE HIZO FUE MUY CORTO, MUY SENCILLO, FALTo PROFUNDIZAR UN POCO MaS, TAL VeZ POR EL TIEMPO NO PUDO.",negativo
No tengo comentarios,neutro
Muchos practicos,negativo
"Excelente profesor, muy buen metodo de ensenanza",positivo
Buen profesional.,positivo
ensena bien por ende exigente,positivo
siga con el yo,neutro
buena profesora,positivo
"Profesor Rogelio se nota que usted sabe demasiado sobre la musica sin embargo hay momentos en los cuales no se le entiende al momento de que usted trata de explicar una materia, deberia trabajar en eso y hacer mas clara sus clases.",negativo
"explica bien, pero en ocaciones llegaba mas tarde de lo que se acordaba. era imposible conversar con el",negativo
no hay sugerencias,neutro
"sus catedras son las que mas me costaron, pero aun asi las logre pasar",positivo
me gustan sus clases pero lee mucho,negativo
Ayudantes eficientes para las practicas de la asignatura,negativo
"Seria genial sacarle mas partido a los nuevos contenidos que han surgido en los anos presentes y hacer trabajos diferentes, generacion tras generacion se hacen los mismos proyectos y eso limita el conocimiento en esta asignatura",negativo
Entrega confianza a los alumnos,positivo
"Falta de respeto con los alumnos, cero vocacion para ser profesor, no se le pueden hacer preguntas porque trata de ignorantes a los alumnos",negativo
EXCELENTE DOCENTE,positivo
aplicar mas casos clinicos en clases,negativo
"excelente profesora, se preocupa del aprendizaje de los alumnos",positivo
responde con entusiasmo y gran disponibilidad a las dudas propuestas,positivo
Entregar las calificaciones de las evaluaciones a tiempo para poder tener nuestras notas mucho antes del siguiente certamen,negativo
Domina muy bien los conocimientos competente al ramo,positivo
nada que decir,positivo
"Deberia estar al tanto de lo que ocurre con cada grupo, ya que no todos estan recibiendo apoyo de sus profesores guia",negativo
muy buen profesor,positivo
Clases didacticas,positivo
"Muy buen profe nada que decir, buen manejo del ingles y paciencia para ensenar",positivo
Ninguna,neutro
Nada que decir,neutro
Muy buen profesor,positivo
Buenas ensenanzas y un muy buen profesor,positivo
Entregar a tiempo las notas para poder revisar con tiempo los certamenes.,negativo
escuche opiniones sobre su ramo.,neutro
Un 7.0 el profe,positivo
Le falta desarrollar y profundizar las clases,negativo
"Excelente docente, muy empatica y responsable con sus alumnos. Maneja muy bien los contenidos",positivo
"Domina muy bien la asignatura, pero falta mas motivacion y ademas que sea puntual en las clases",negativo
Genera dinamica de aprendizaje e interes por la materia,positivo
Podria ser mas amable,negativo
Ser mas puntual con la entrega de calificaciones,negativo
Usar mas material didactico,negativo
Buen profesor,positivo
jajaja,neutro
Hace falta un poco mas de responsabilidad en lala llegada a clases,negativo
"buen profesor, mejorar la comunicacion alumno profesor",positivo
"Menos rigidez al momento de evaluar, si bien no deberiamos ser nuevos en el ingles pero algo menos de rigidez es bueno para los nuevos estudiantes.",negativo
Buen profe,positivo
"Muy buen profesor, tiene mucha paciencia",positivo
"Un excelente profesor, se da el tiempo para responder cada duda que tiene el alumno.",positivo
Super buena profe,positivo
Sin comentarios,neutro
"buen academico, solo falta hacer ejercicios que clarifiquen las ideas.",negativo
Exelente profesora,positivo
Debe mejorar,positivo
"Excelente profesor, demuestra de muy buena manera su total manejo de los conocimientos que nos entrega y lo hace de la mejor manera.",positivo
criterio de evaluacion,negativo
Sin comentarios,neutro
"Buen profesor, explica claramente",positivo
ensenar mas programacion de diseno,negativo
su metodo de ensenanza es muy efectivo,positivo
"Que los certamenes sean basados en lo que explica en clases, no de comprension lectora.",negativo
Excelente profesor que proporciona un ambiente adecuado para ?el aprendizaje,positivo
buen profesor,positivo
no me gusto el ramo no lo entendi no aprendi nada,negativo
siga asi,positivo
organizar sus clases con anticipacion y no en el momento,negativo
crea un buen ambiente en la sala y esta siempre dispuesto a ayudar,positivo
sin comentarios,neutro
"buen profesor, falta un poco de claridad en sus explicaciones",negativo
ejemplo a seguir,positivo
muy comprometida con el aprendizaje del estudiante,positivo
Profesor con experiencia y gran dominio del tema,positivo
Ninguna.,neutro
"muy buen profesor, nada que reprochar.",positivo
buen profesor,positivo
Falta puntualidad con la entrega de calificaciones.,negativo
"Subir las notas a tiempo, no cuando finalice el semestre, hacer los certamenes de acuerdo a lo pasado en todas las clases anteriores y no basado en la ultima clase, donde ensena lo mas dificil y el que entendio, entendio, el que no, jodio",positivo
me entretuve y aprendi mucho del ramo,positivo
"buen profesor, muy preocupado por los estudiantes",positivo
muy buena profesora,positivo
"Docente excelente, con grandes conocimientos y ademas vocacion por ensenar",positivo
excelente docente,positivo
"Entusiasmar mas a los estudiantes, pues muchas veces se vuelven aburridas las clases.",negativo
"Excelente profesora, dedicada en su labor de ensenar .",positivo
No tengo sugerencias,neutro
ninguno,neutro
buen profesor,positivo
mas responsabilidad totalmente,negativo
Sin Comentarios,neutro
Buen profesor,positivo
Muy buena profesora,positivo
"Explica muy bien los contenidos, lo unico que me hacia sentir incomoda era que las clases las terminaba el ayudante a veces.",positivo
Muy buen docente,positivo
Podria ser mas empatico con sus alumnos y entregar las notas en su respectivo plazo.,negativo
es buena ondi usted,positivo
No hay comentarios,neutro
es una clase activa y didactica,positivo
Deberia cambiar su forma de evaluar,negativo
"Profesor didactico , con grandes conocimientos , sabe transmitirlos , y empatico con sus alumnos ,  ami no me gusta economia , pero su manera de ensenar hace mas digerible el aprendizaje.",positivo
sin sugerencias,neutro
"Muy buen profesor!! aprendi mucho sobre uso de herramientas en el computador ademas de word, excel, ppt entre otras cosas muy amable y con mucha paciencia responde todas las dudas",positivo
Buena profe,positivo
Otros,neutro
No fue mi profesor,neutro
Buen profesor,positivo
Gran tutora,positivo
Buenas clases,positivo
El mejor profe del mundo,positivo
"Buenas clases, ningnun problema",positivo
"Mas actividades en sus clases, no enfocarsr solo en un tipo de material para explicar la materia sino que recurrir a otras opciones.",negativo
"Muy buen profesor, nada que decir",positivo
nada,neutro
"Si bien las clases, son en la mayoria de participacion de los alumnos, y de cooaprendizaje entre los mismos, falta que la docente realice mas clases teoricas, ya que no todos los alumnos manejan el idioma ingles al mismo nivel.",negativo
Muy bien,positivo
las clases  son muy didacticas y participativas lo que promueven la confianza de grupo,positivo
sin comentario,neutro
buen profesor,positivo
es bueno,positivo
"podria hacer sus clases mas entretenidas, utilizar mas evaluaciones distintas, ya sea trabajos, etc y no solo certamenes.",negativo
muy buena profesora,positivo
Buen profesor,positivo
Ninguna,neutro
Clases didactica,positivo
Clases mas interactivas,positivo
"El profesor es muy bacan, es seco para bailar. me encantaban sus clases.",positivo
Mejorar el tiempo de entrega de evaluaciones,negativo
Cercania con los estudiantes,positivo
mayor dedicacion a la hora de entregar notas y revisar certamenes.,positivo
Ninguna,neutro
se agradece el gran manejo del taller,positivo
Buen manejo de su area,positivo
no aplica,neutro
buen profe,positivo
es el mejor profesor de la Castilla,positivo
"tengo buenas recomendaciones, sin embargo, por temas personales no rendi el ramo.",neutro
Muy buena profesora,positivo
Sin sugerencias,neutro
Buena disposicion,positivo
Excelente docente,positivo
"le falta mas variedad a sus clases, que no sean tan monotonas",negativo
No hubo concenso en algunos temas con el otro profesor de ramo,negativo
excelente profesor.,positivo
buen manejo de la materia,positivo
"Ojala siga manteniendo su buen trato y cercania hacia los alumnos, ya que crea un ambiente muy amigable y da gusto asistir a sus clases, ademas de que desarrolla temas que son de gran interes de los estudiantes de diseno. Que sea Jefe de carrera otra vez!",positivo
Sin comentarios,neutro
Es nuevo asi que no tengo mucho que decir,neutro
"Buen profesor, pero en las evaluaciones considero contenidos no revisados.",positivo
Profesor muy responsable y hace las clases muy gratas,positivo
Clases poco didacticas,negativo
no hay sugerencias,neutro
"Muy buen profesor, pero muy poco empatico",positivo
Realizar la clase de forma mas lenta,negativo
"buen profesor, falta mas dinamica, es muy pasivo",negativo
buen profesor,positivo
"Buena profesora, responsable muy profesional",positivo
"bastante didacticas las clases, se nota que maneja muy bien los temas a tratar.",positivo
sugiero que los contenidos se relacionen con nuestra carrera.,negativo
"agradable profesor, simpatico con los estudiantes",positivo
ninguna,neutro
Evaluaciones con notas referenciales,positivo
"muy buen profesor, sabe como ensenar.",positivo
puntualidad,positivo
mayor desarrollo de ejercicios propuestos,negativo
dar a respetar su postura como docente,negativo
Ninguna,neutro
no tengo sugerencias,neutro
no posee oficina,negativo
tiene buena disposicion al responder dudas,positivo
"El tiempo para aplicar las evaluaciones era poco, en relacion con el requerido para el desarrollo de este",negativo
"El profesor desde un principio de la asignatura intento que el curso fuera lo mas ameno posible, intengrando tanto teoria como ejercicios practicos que hicieron de la asignatura una instancia agradable.",positivo
habla como metralleta pero los power apanan :like:,negativo
Debe hablar mas fuerte porque muchas veces no se escucha lo que dice,negativo
Ayuda con todas las consultas o preguntas a los alumnos,positivo
"Buen docente, pendiente de las clases y siempre dispuesto a explicar",positivo
Excelente desempeno,positivo
Genera un ambiente de confianza e interes por la asignatura.,positivo
Genera un ambiente grato y de confianza,positivo
aumentar las salidas a terreno en clases,negativo
ninguno,neutro
buen profe,positivo
buena profesora,positivo
"Sus clases son muy importantes para futuros profesores, ya que nos demuestra y nos aconseja como va a ser en la vida escolar real y esto nos ayudara para en un futuro ser mejores profesionales.",positivo
no sugerencias,neutro
Muy buena profesora,positivo
"Dedicado, atento.",positivo
Retroalimentacion de certamenes,negativo
Excelente docente explica los contenidos de una forma practica que ayuda al aprendizaje eficaz de la materia.,positivo
"Buen dominio de la materia expuesta en clases, ademas de complementarse con fuentes pertinentes a la asignatura.",positivo
"Aunque es una buena profesora, en los ultimos dias de clases hizo muy rapidamente todas las actividades junto a los trabajos perjudicandonos a algunos con las notas al adelantarse muy rapidamente sin explicar bien el ultimo trabajo.",negativo
"innovador, empatico",positivo
es un profesor que ama lo que ensena,positivo
Mejorar la puntualidad,negativo
Que si tiene algun inconveniente con algun personal de la UBB que lo conversen afuera del aula,negativo
Muchas gracias,positivo
Excelente profesora,positivo
"Muy ben profesor, siempre da oportunidades cuando se tiene algùn problema",positivo
excelente profesor y mejor persona.,positivo
Me gustaria un poco mas de disposicion y simpatia a la hora de hablar o atender al estudiante.,positivo
Muy buen profesor siempre apoyando y dando los tips para estudiar,positivo
"exelente profesor,un gran motivador",positivo
Ninguno,neutro
sin comentario,neutro
"Muy buena profesora, explica la materia como corresponde en el tiempo correspondiente.",positivo
Deberia probar con otros metodos de ensenanza,negativo
Es una clase muy practica en la que se logra comprender muy bien los contenidos,positivo
las clases deberian realizarse temprano para prestar mas atencion a la asignatura,positivo
Buena profe,positivo
una profesora impecable,positivo
ninguna,neutro
no se,neutro
"NADA QUE DECIR, EXCELENTE PROFESIONAL.",positivo
"excelente profesora, nada que decir.",positivo
sin comentarios,neutro
Buen domino y manejo de las clases,positivo
la realizacion de sus certamenes contienen mucha informacion de memoria los cuales prefiero que sean mas de aplicacion en casos clinicos.,negativo
Profesor dedicado a la materia que ensena,positivo
Buen profesional,positivo
Profesor que crea un ambiente de confianza y libertad entre alumnos.,positivo
si comentarios,neutro
"Muy buen profesor, siempre con buena disponibilidad para atender cada pregunta y dudas de los estudiantes",positivo
Buen profesor,positivo
"Clases didacticas, muy bien explicada la teoria y reforzada con visitas a terreno y exposicion de turbinas.",positivo
sin comentarios,neutro
centrarse mas en las distintas formas de aprender de los alumnos y no ir al ritmo de unos pocos,negativo
Materia evaluada en el certamen es vista dia anterior a este.,negativo
"Buen desempeno, motiva a realizar trabajo",positivo
buen profesor,positivo
Excelente profesor,positivo
nada que decir,neutro
Buen profesor,positivo
Buen profesor,positivo
Sin comentarios,neutro
"recien se comenz{o a impartir el ramo, dura el segundo semestre pero se inscribe el primero por lo tanto no lo puedo evaluar",positivo
Sin comentarios,neutro
"Me encanta su forma de ensenar, es seca y muy didactica y divertida. Me gustan sus super apuntes, sabe mucho.",positivo
explicaciones en clases muy buenas y claras,positivo
Ninguno,neutro
Buenos laborariorios,positivo
Es buen profesor,positivo
Clase interesante,positivo
Mas respeto hacia sus alumnos,negativo
Muy buena profesora,positivo
No ensenaba,negativo
ir mas lento en las clases,negativo
"Se demora en entregar las notas, cambia las ponderaciones a su gusto",negativo
sugiero que prepare sus clases y contenidos a algo mas actualizado,negativo
Deberia enfocar mas las clases en desarrollo de ejercicios.,negativo
Buen profesor,positivo
sugiero menor tolerancia a las distracciones,negativo
"Nada que decir, una exelente profesora el manejo que tiene en sus clases es extraordinario ademas de las capacidades para la programacion",positivo
docente con mucho conocimiento para entregar a los alumnos,positivo
"muy bien en el area de conocimientos, pero las habilidades blandas podria mejorarlas un poco",positivo
Muy buen profesor,positivo
"podria usar otras redes para informar , como facebook",negativo
es una excelente miss,positivo
"muy buena profesora , comprensiva y atenta",positivo
Es un buen docente,positivo
personal,positivo
Buen profesor,positivo
excelente,positivo
Buena forma de manejar sus clases y su metodologia de la materia que nos ensena,positivo
"Excelente profesora, una de las mejores que he tenido en Ingles. Seria un gusto seguir viendola.",positivo
Que cambie su metodologia de ensenanza,negativo
No he visto profesor mas penca,negativo
mejorar en los plazos de entregas de notas,negativo
introduccion con la clase,neutro
"Es una buena profesora, pero, como todo en la vida, puede mejorar",negativo
excelente profesor,positivo
Profesora que brinda un constante apoyo durante el desarrollo del semenstre en las diferentes instancias,positivo
Muy buena profesora explica bien todo.,positivo
Es una buena profesora,positivo
"Muy buen profesor, ensena bien, es simpatico y siempre responde las consultas que uno tenga.",positivo
Profesora que explica bien y buena disposicion para la aclaracion de dudas.,positivo
"Es un profesor que guia y estimula el correcto aprendizaje, intachable.",positivo
PROFE FOME QUE SOLO LEE DIAPOSITIVAS,negativo
Buen profesor,positivo
excelente metodo de ensenanza,positivo
Sea mas dinamico.,negativo
Buen metodo de ensenanza,positivo
clases didacticas que permiten buen aprendizaje de contenidos,positivo
Me parece su metodologia muy buena para el aprendizaje de contenidos,positivo
"Se podria mejorar la forma en que entrega los contenidos en las clases, ya que se siente como si los conceptos estuvieran desparramados y nosotros tuvieramos que juntar las partes para comprender",positivo
"clases muy bien explicadas, excelente profesor, muy dicactico, unos de los mejores profesores que he tenido en la carrera",positivo
excelente profesora,positivo
Ninguna,neutro
"La unica clase que tuve con la profesora Marcela , fue muy provechosa debido a que se paso una guia didactica para responder, haciendo uso de toda la clase y a la vez aprendiendo de forma clara y precisa el contenido.",positivo
ninguna sugerencia o comentario,neutro
"No le toma realmente el peso a las evaluaciones , ademas no da mucho tiempo para realizar el proyecto final (2 semanas) donde quedaba casi 2 meses , desesperado por cerrar el semestre",negativo
No poseo sugerencias.,neutro
sus clases son simpaticas,positivo
Debe ser mas respetuoso con sus alumnos,negativo
Profundizar y tener conocimientos de mayor complejidad para responder con mayor claridad a preguntas mas complejas.,negativo
Excelente profesor,positivo
"evaluaciones demasiado extensas para el tiempo entregado, las evaluaciones fueron entregadas con demasiada demora",negativo
hjhjhj,neutro
"Es EXCESIVO el tiempo que se toma para revisar los certamenes, tenemos que esperar mucho para tener las notas de nuestras evaluaciones.",negativo
Buen profe combina muy bien la teoria con la practica y ademas hace las clases muy agradables,positivo
Claridad en lo que quiere explicar,positivo
"Muy buen profesor no solo nos enseno basqutbol sino que tambien a como ensenar nosostros mismos para un futuro, exelente.",positivo
ninguna,neutro
me costaba entender un poco su metodo de explicar la materia,negativo
clases didacticas muy buenas,positivo
Buen profesor,positivo
Buena clase,positivo
"Que no se ponga tan nerviosa, lo hace notar mucho!",negativo
Ninguna,neutro
cambiar diapos no usar las mismas de historia,negativo
no se,positivo
muy buena profesora pero podria traer su clase mas ordenada y asi no enredarnos tanto,positivo
hacer ejercicios y explicar mejor,positivo
Respetar horarios designado y el horario de los alumnos,positivo
Ninguna,neutro
exvelente profesora,positivo
AGRADECIDO POR SU CLASE,positivo
no tengo ningun comentario adicional la profesora veronica es una docente preocupada y adecuada para la asignatura,positivo
;),positivo
Bien.,positivo
sin comentario,neutro
"Muy buena docente, dispuesta a que sus estudiantes aprendan bien.",positivo
"Profesor que presenta una particular forma de ensenar, es cercano, didactico, siempre abierto al dialogo.",positivo
muy buen docente,positivo
sin sugerencia,neutro
Le falta aprender un poco mas del ramo en profundidad,positivo
Sin comentarios.,neutro
No tuvimos muchas clases con ella debido a su licencia medica.,neutro
"Llega con buen animo a la sala de clases y es amigable con los alumnos. Cada clase es motivadora, y se da el tiempo para revisar avances con cada uno de los alumnos.",positivo
PUEDE SER MEJOR,negativo
Tiene una disposicion y es amable.,positivo
realizaria mas clases que explican cada informe. creo que solo una al principio genera muchas dudas cuando uno se adentra en la asignatura,negativo
podria entregar las notas de los trabajos semana a semana para saber como le esta yendo al estudiante en la asignatura,negativo
"Excelente profesor, se da el tiempo de explicar y reconoce las habilidades de los alumnos.",positivo
Es un excelente profesor,positivo
"Buen docente, ensena de buena forma",positivo
Que su su certamenes no sean tan largos,negativo
"Sus clases fueron muy divertidas e interesantes, donde nos dio la oportunidad de expresar lo que aprendimos en las clases teoricas pero de manera mas practica y sensilla.",positivo
"exelente pedagogo que demuestra amor a la historia, y eso se traspasa, por lo menos a mi, un interes profundo por la historia. Ademas de utilizar estrategias de aprendizaje, nos muestra documentos historicos, lo cual, a mi me genera mas interes",positivo
"menos videos, mas dinamismo",negativo
explicacion mas clara en clases,negativo
"El profesor se muestra siempre dispuesto a responder preguntas y repasar contenidos. Es energico en sus clases, siempre llega con la mejor disposicion, lo cual se valora.",positivo
Se entiende lo explica,positivo
Buen ayudante,positivo
"Profesores muy amables, dedican tiempo a los alumnos que se preocupan por el ramo",positivo
"Excelente metodo de ensenanza, clases totalmente comprensivas",positivo
no hay sugerencias,neutro
"profesor que no posee filtro hacia sus comentarios,refiriendose a las mujeres de manera despectiva",negativo
"Es un Excelente profesor, muy dedicado a los estudiantes.",positivo
"No se entiende claramente cuando explica, espero pueda solucionar ese problema, por lo demas es un excelente profesor",positivo
"Una buena docente, como estudiante me siento en confianza con ella cuando necesito dirigirme a su persona",positivo
Deberia dejar mas a los alumnos que realicen las experiencias.,negativo
Excelente profesor,positivo
Desordenado para entregar la informacion.,negativo
Agradable profesora,positivo
Buen Profesor,positivo
Buena instancia para aprender,positivo
"Que siga colocando ejemplos de la vida diaria asi se hace mucho mas facil y didactico entender la materia, muy buen profesor.",positivo
"Es buena profesora, quizas seria bueno que tuviera un poco mas de tiempo para sus alumnos.",negativo
no tengo nada que decir.,neutro
buen profesor,positivo
"Muy capo, sabe mucho y es muy generoso compartiendo su conocimiento, me parecio un muy buen taller",neutro
buen profesor,positivo
No hay sugerencias,neutro
Excelente  metodo  de ensenanza  lo que otros profesores  hacen parecer  dificil  el logra  ensenarlo de manera sencilla lo que motiva a aprender mas.,positivo
Dificil profesional,negativo
Ddd,neutro
Su modo de ensenar es el adecuado,positivo
Buen profesor pero a la hora de entregar las evaluaciones deberia ser un poco mas ordenado,negativo
Quizas un poco mas de exigencia no estaria mal,negativo
No tuve clases con el docente,neutro
despaila,neutro
Se podrian realizar los laboratorios con anticipacion,negativo
Ninguna,neutro
falta mas entendimiento con alumnos,negativo
Es un muy buen profesor y le agradezco la paciencia que tuvo con nosotros.,positivo
"Excelente ´profesor, pero la metodologia de evaluacion no es la apropiada de acuerdo al conocimiento que el alumno va a necesitar.",neutro
que haga el certamen de acuerdo a toda la materia,negativo
"Muy buen profesor, sabe bastante, sus clases son entretenidas al punto de que realmente dan ganas de aprender.",positivo
Sin comentarios,neutro
no entrega de notas parciales,negativo
excelente profesora,positivo
Ninguna,neutro
bien,positivo
La profesora se da el tiempo para atender a todos sus alumnos que lo requieran,positivo
"Siento que la asignatura fue demasiado de su experiencia personal como emprendedor y poco de lo que realmente trataba la asignatura, que de hecho, hasta ahora no me queda claro exactamente cual eran sus contenidos reales",negativo
en general la asignatura esta bien dirigida a las necesidades de los estudiantes,positivo
no me hizo clases,neutro
Muy amable y comprensiva. Exigente cuando debe serlo. Cercana a los estudiantes y clases didacticas,positivo
"pierdo atencion , utilizar medio que llamen la atencion, videos etc",negativo
Sin comentarios,neutro
Excelente docente,positivo
Realizar mas ejercicios en clase,negativo
Ninguna,neutro
Buen profesor,positivo
mas ejercicios en clases o tener alumno ayudante,negativo
Profesora que evalua el esfuerzo y desempeno de cad alumna,positivo
ninguno,neutro
"Solo decir que las clases fueron muy agradables, estimular que siga asi",positivo
"Excelente docente,buen manejo de la materia",positivo
sin sugerencias,neutro
continuar realizando los ejercicios en clases junto con los alumnos.,positivo
ayuda y aconseja a los alumnos para un mejor desempeno,positivo
a menudo las clases no empezaban a la hora asi que sugiero cambiar eso,negativo
"muy mala docente no lleva clases preparadas y se mufa de sus alumnos,",negativo
"Le falto mas maneja de la programacion de la asignatura, tales como, fechas de certamenes, metodologia de evaluciones, porcentajes de estas, etc",negativo
Muy dinamica. Se hace respeta sin que el alumno pierda la confianza para para participar.,positivo
sin comentarios,neutro
Excelente profesora,positivo
"Fue un taller diferente, porque de la manera en que lo desarrollo la profesora hacia que fuera mas intersante, hacia que todas participaramos pidiendo la opinion y las experiencias de cada una en la practica",positivo
La profesora durante la clase sale frecuentemente de la sala y no entrega la retroalimentacion del porque de la nota que obtuvo el alumno.,negativo
buen profesor,positivo
Excelente docente,positivo
no es mi profesora supervisora,neutro
"Deberia ser igualitario con todos los alumnos, y dar las mismas oportunidades a todos.",negativo
"profesor que entrega un clima agradable en la clase, lo cual beneficia al alumno.",positivo
mal profesor,negativo
una asignatura bastante interesante,positivo
no se,neutro
todo bien,positivo
bien,positivo
"Ademas de la materia que imparte, motiva a estudiar de manera dinamica y efectiva con consejos practicos.",positivo
Su criterio de evaluacion es muy estricto,negativo
Sin comentarios,neutro
Que deberia tener un horario de consultas,negativo
excelente profesora transmite su energia hacia los estudiantes,positivo
exelente profesor maneja todo el contenido explica bien.,positivo
Buena profesora,positivo
no tuve clases con ella,neutro
"El modo de evaluacion podria cambiar, referente a que solo es un certamen.",negativo
Agregar mas sobre SAP,negativo
Excelente docente y supervisor.,positivo
No tengo clases con el.,neutro
experta,positivo
Buen docente,positivo
Realizar mas ejercicios en clases,negativo
se sugiere que haga una clase mas didactica y con motivos de diseno industrial para que asi los alumnos se motiven a aprender algo que les servira para el diseno en si,negativo
Deberia hacer mas didacticas las clases,negativo
Buen docente,positivo
s/c,neutro
todo bien,positivo
"el tipo de evaluacion no es para mi el adecuado, ya que el estudiante no demuestra lo aprendido,  y el tiempo que se da no es el adecuado.",negativo
"En ocasiones actua de forma intransigente, sin comprender el punto de vista de los estudiantes.",negativo
"Es necesaria la retroalimentacion despues de los certamenes, por lo tanto se deben hacer entrega de los mismos para saber los aciertos y fallas.",negativo
"buena disponibilidad para responder dudas y aconsejar al estudiante, brinda una confianza estudiante docente  para asi responder y orientar.",positivo
"excelente asignatura, muy relajante y ayuda a liberar el estres.",positivo
mas evaluaciones,positivo
"Es amable y cercano a los estudiantes, lo que hace facil acercarse a el para hacerle consultas. Quizas el electivo seria mas facil de llevar si existiese un programa con las evaluaciones de tareas y actividades durante el semestre.",positivo
"Siga con la misma buena disposicion, ya que esto genera una cercania con los alumnos.",positivo
"posee una muy buena disposicion a la hora de ir a su oficina, ademas siempre esta preocupado de que los alumnos comprendan en clases generando pausas cuando es necesario.",positivo
"No maneja los contenidos,sus horas en aulas son innecesarias ya que todos sabemos leer ppt",negativo
buenas suss clases,positivo
no tengo suferencias,neutro
mejorar la calificacion de la asignatura para que tenga mas coherencia con la materia del ramo,negativo
muy buena clase,positivo
Falta integracion con los alumnos,negativo
Profesor  con amplio dominio en las materias y que cuenta con bastante disposicion para ensenar,positivo
buen profesor,positivo
"Ensenar, entregar mayor informacion y/o herramientas para poder realizar o enfrentar la evaluacion final del ramo (confeccion de prototitpo)",negativo
"Buen manejo de contenidos, buena disposion a aclarar dudas en los ejercicios propuestos dentro del aula.",positivo
Buen profesor,positivo
ramo botado,negativo
Exigente y buena explicando,positivo
siga disfrutando tanto ensenar esto  el mas rudo,neutro
nn,neutro
asd,neutro
Buen profesor,positivo
Una gran profesora con muy buena capacidad de ensenanza,positivo
Todo ok,positivo
"Se podria realizar clases practicas con ejercicios o reforzar mas los temas mas importantes. Respecto a las tareas y proyecto ,realizar clase  donde se puedan resolver dudas al respecto.",negativo
excelente docente,positivo
buen profesor,positivo
Sin Sugerencias,neutro
Sin sugerencias,neutro
Es un excelente profesor por su forma de ensenar y mostrarnos la materia,positivo
excelente profesor,positivo
deberia enfocarse mas a ingenieria,negativo
exelente nivel como docente de su area y materias a fines a la ingenieria,positivo
buen profe,positivo
"No fue mi profesor, respondo N/O ya que debe marcar alguna alternativa para poder enviar la encuesta.",neutro
Muy buen profesor,positivo
"buen profesor, entendido en el tema y apasionado en sus clases",positivo
Excelente docente,positivo
nada que mejorar,positivo
nose,neutro
es un buen profesor,positivo
"ramo muy util, con buen material de estudio",positivo
Excelente Profesora,positivo
"No tuve clases con ella, ya que realice la pracrica en terreno.",neutro
"docente que no cumple con los plazos de entregas de notas , sus trabajos y certamenes los avisa con poco tiempo",negativo
Profesora que cumple en su totalidad con los objetivos de la asignatura. Tiene buena disposicion para atencion de consultas,positivo
"Las clases eran didacticas y todo lo practico lo haciamos los alumnos, por lo que aprendiamos mas.",positivo
Es la mejor,positivo
Es como una biblioteca andante y tiene buen sentido del humor para hacer las clases mas amenas.,positivo
Din sugerencias,neutro
buen profesoe,positivo
"Buena profesora, con una excelente disposicion a explicar",positivo
sin comentario,neutro
Un profesor muy simpatico y buena onda.,positivo
clases donde el sea mas participe,negativo
Excelente profesor,positivo
"Sus clases son profundas y claras, el profesor genera debates en cada clase, lo que la hace mucho mas interesante.",positivo
buen profe,positivo
me gustan las clases de interaccion,positivo
ordenado con el programa,positivo
no tuve clases con este profesor.,neutro
nada que decir,neutro
"Muy buena profesora, se preocupa de los alumnos que demuestran dificultad en el ramo entiendan  y ademas demuestra pasion por su profesion",positivo
"Excelente maestro,con mucha experiencia, da excelente consejos, pero deberia ser un poco mas dinamicas sus clases",positivo
no hay comentarios,neutro
excelente metodologia,positivo
ninguna,neutro
ninguna,neutro
Es un profesor que siempre esta atento a lo que dicen y hacen todos los estudiantes que estan dentro de la sala.,positivo
le falta mas enfoque y divagar menos,negativo
muy buen profesor,positivo
Realizar mayor cantidad de ejercicios,negativo
Muy buen docente,positivo
"que explique las cosas un poco mas claras, no todos tenemos las mismas bases.",negativo
realizar ejercicios variados,negativo
Ninguna,neutro
"Excelente profesor, se toma el tiempo para explicar detalladamente cada clase ademas aclarar dudas con paciencia y buena disposicion",positivo
Clases muy monotonas,negativo
falta empatia con los estudiantes,negativo
Cumple con la funcionalidad del ramo,positivo
"Mas precision al ensenar, no pregunte en el certamen contenidos que nunca ha pasado y que use menos power point",negativo
Un profesor excelente,positivo
esta bien,positivo
"un excelente profesor ,y  flexible al momento de ver horarios",positivo
Excelente profesora,positivo
Muy entretenidas sus clases,positivo
Muy buena la clase y didactica,positivo
sin comentarios,neutro
